Date,Price (USD)
2023-11-13 08:16:06+00:00,82
2023-11-13 08:22:09+00:00,82
2023-11-13 08:28:12+00:00,93
2023-11-13 08:34:15+00:00,93
2023-11-13 08:40:18+00:00,93
2023-11-13 08:46:21+00:00,93
2023-11-13 08:52:24+00:00,93
2023-11-13 08:58:27+00:00,93
2023-11-13 09:04:30+00:00,93
2023-11-13 09:10:33+00:00,93
2023-11-13 09:16:36+00:00,93
2023-11-13 09:22:39+00:00,93
2023-11-13 09:28:42+00:00,93
2023-11-13 09:34:45+00:00,93
2023-11-13 09:40:48+00:00,93
2023-11-13 09:46:51+00:00,90
2023-11-13 09:52:54+00:00,90
2023-11-13 09:58:57+00:00,90
2023-11-13 10:05:00+00:00,90
2023-11-13 10:11:03+00:00,119
2023-11-13 10:17:06+00:00,119
2023-11-13 10:23:09+00:00,119
2023-11-13 10:29:12+00:00,119
2023-11-13 10:35:15+00:00,110
2023-11-13 10:41:18+00:00,110
2023-11-13 10:47:21+00:00,110
2023-11-13 10:53:24+00:00,123
2023-11-13 10:59:27+00:00,123
2023-11-13 11:05:30+00:00,123
2023-11-13 11:11:33+00:00,123
2023-11-13 11:17:36+00:00,123
2023-11-13 11:23:39+00:00,82
2023-11-13 11:29:42+00:00,82
2023-11-13 11:35:45+00:00,82
2023-11-13 11:41:48+00:00,87
2023-11-13 11:47:51+00:00,87
2023-11-13 11:53:54+00:00,101
2023-11-13 11:59:57+00:00,87
2023-11-13 12:06:00+00:00,75
2023-11-13 12:12:03+00:00,86
2023-11-13 12:18:06+00:00,86
2023-11-13 12:24:09+00:00,86
2023-11-13 12:30:12+00:00,86
2023-11-13 12:36:15+00:00,86
2023-11-13 12:42:18+00:00,87
2023-11-13 12:48:21+00:00,87
2023-11-13 12:54:24+00:00,87
2023-11-13 13:00:27+00:00,88
2023-11-13 13:06:30+00:00,87
2023-11-13 13:12:33+00:00,79
2023-11-13 13:18:36+00:00,79
2023-11-13 13:24:39+00:00,122
2023-11-13 13:30:42+00:00,109
2023-11-13 13:36:45+00:00,109
2023-11-13 13:42:48+00:00,86
2023-11-13 13:48:51+00:00,91
2023-11-13 13:54:54+00:00,109
2023-11-13 14:00:57+00:00,95
2023-11-13 14:07:00+00:00,103
2023-11-13 14:13:03+00:00,103
2023-11-13 14:19:06+00:00,79
2023-11-13 14:25:09+00:00,89
2023-11-13 14:31:12+00:00,110
2023-11-13 14:37:15+00:00,110
2023-11-13 14:43:18+00:00,84
2023-11-13 14:49:21+00:00,93
2023-11-13 14:55:24+00:00,93
2023-11-13 15:01:27+00:00,87
2023-11-13 15:07:30+00:00,93
2023-11-13 15:13:33+00:00,87
2023-11-13 15:19:36+00:00,91
2023-11-13 15:25:39+00:00,85
2023-11-13 15:31:42+00:00,88
2023-11-13 15:37:45+00:00,88
2023-11-13 15:43:48+00:00,93
2023-11-13 15:49:51+00:00,101
2023-11-13 15:55:54+00:00,91
2023-11-13 16:01:57+00:00,82
2023-11-13 16:08:00+00:00,86
2023-11-13 16:14:03+00:00,83
2023-11-13 16:20:06+00:00,87
2023-11-13 16:26:09+00:00,87
2023-11-13 16:32:12+00:00,118
2023-11-13 16:38:15+00:00,87
2023-11-13 16:44:18+00:00,87
2023-11-13 16:50:21+00:00,85
2023-11-13 16:56:24+00:00,107
2023-11-13 17:02:27+00:00,87
2023-11-13 17:08:30+00:00,92
2023-11-13 17:14:33+00:00,86
2023-11-13 17:20:36+00:00,87
2023-11-13 17:26:39+00:00,97
2023-11-13 17:32:42+00:00,97
2023-11-13 17:38:45+00:00,99
2023-11-13 17:44:48+00:00,111
2023-11-13 17:50:51+00:00,104
2023-11-13 17:56:54+00:00,102
2023-11-13 18:02:57+00:00,97
2023-11-13 18:09:00+00:00,97
2023-11-13 18:15:03+00:00,95
2023-11-13 18:21:06+00:00,108
2023-11-13 18:27:09+00:00,108
2023-11-13 18:33:12+00:00,98
2023-11-13 18:39:15+00:00,98
2023-11-13 18:45:18+00:00,92
2023-11-13 18:51:21+00:00,98
2023-11-13 18:57:24+00:00,92
2023-11-13 19:03:27+00:00,97
2023-11-13 19:09:30+00:00,129
2023-11-13 19:15:33+00:00,129
2023-11-13 19:21:36+00:00,93
2023-11-13 19:27:39+00:00,83
2023-11-13 19:33:42+00:00,83
2023-11-13 19:39:45+00:00,121
2023-11-13 19:45:48+00:00,96
2023-11-13 19:51:51+00:00,98
2023-11-13 19:57:54+00:00,89
2023-11-13 20:03:57+00:00,83
2023-11-13 20:10:00+00:00,83
2023-11-13 20:16:03+00:00,90
2023-11-13 20:22:06+00:00,120
2023-11-13 20:28:09+00:00,90
2023-11-13 20:34:12+00:00,99
2023-11-13 20:40:15+00:00,103
2023-11-13 20:46:18+00:00,89
2023-11-13 20:52:21+00:00,89
2023-11-13 20:58:24+00:00,95
2023-11-13 21:04:27+00:00,89
2023-11-13 21:10:30+00:00,110
2023-11-13 21:16:33+00:00,91
2023-11-13 21:22:36+00:00,87
2023-11-13 21:28:39+00:00,97
2023-11-13 21:34:42+00:00,83
2023-11-13 21:40:45+00:00,81
2023-11-13 21:46:48+00:00,94
2023-11-13 21:52:51+00:00,95
2023-11-13 21:58:54+00:00,102
2023-11-13 22:04:57+00:00,102
2023-11-13 22:11:00+00:00,87
2023-11-13 22:17:03+00:00,89
